Year,Rank,TeamID,Team,Games,W,L,D,BA,ERA,WPCT,PS,oWAR,OPS,wRC+,R,pWAR_sum,FIP,WHIP,Total_RA,Pyth_WPCT
1989,3,WO,태평양 돌핀스,120,62,54,4,249,3.03,533,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,4,SS,삼성 라이온즈,120,57,58,5,272,4.42,496,4,26.47,0.6581428571428571,85.60000000000001,580.0,13.08,4.731111111111111,1.6905555555555556,588.0,493.15100623842886
1989,5,OB,OB 베어스,120,54,63,3,247,3.7,463,0,12.09,0.5015357142857143,24.192857142857143,447.0,14.21,4.492777777777778,1.6005555555555555,481.0,463.4111835228253
1989,6,LG,MBC 청룡,120,49,67,4,252,4.27,425,0,17.5,0.54644,45.488,488.0,5.98,4.0737499999999995,1.5,577.0,417.01148539605794
1989,7,LT,롯데 자이언츠,120,48,67,5,247,3.91,421,0,17.73,0.5932413793103448,69.00344827586207,419.0,15.04,4.892857142857143,1.5678571428571428,520.0,393.66895311385144
1990,1,LG,LG 트윈스,120,71,49,0,271,3.38,592,1,23.36,0.62292,67.89200000000001,578.0,22.12,4.175625,1.505625,457.0,615.331910197731
1990,2,HT,해태 타이거즈,120,68,49,3,270,3.36,579,3,26.87,0.5500434782608695,40.869565217391305,538.0,24.43,4.767692307692308,1.533076923076923,458.0,579.8064133575989
1990,3,HH,빙그레 이글스,120,68,50,2,270,3.4,575,4,30.86,0.6025185185185186,60.6888888888889,610.0,23.01,8.998666666666669,1.7973333333333334,481.0,616.6098554825968
1990,4,SS,삼성 라이온즈,120,66,52,2,263,4.13,558,2,26.68,0.6776800000000001,99.7423076923077,597.0,13.99,4.867333333333333,1.6239999999999999,558.0,533.7277787503632
1990,5,WO,태평양 돌핀스,120,58,59,3,246,3.68,496,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,6,LT,롯데 자이언츠,120,44,71,5,245,4.44,388,0,16.1,0.5346451612903226,56.0,453.0,11.07,348.8555555555556,7.003333333333334,569.0,387.9407149736508
1990,7,OB,OB 베어스,120,35,80,5,231,4.72,313,0,7.629999999999999,0.5733846153846154,50.41923076923077,402.0,2.48,4.40421052631579,1.708421052631579,616.0,298.68036816564023
1991,1,HT,해태 타이거즈,126,79,42,5,259,2.89,647,1,30.1,0.5534166666666667,45.55833333333334,618.0,31.04,3.513333333333333,1.42,409.0,695.4124598270311
1991,2,HH,빙그레 이글스,126,72,49,5,274,3.28,591,2,34.739999999999995,0.6871923076923078,87.28461538461539,644.0,25.23,3.706153846153846,1.4507692307692308,493.0,630.503888047568
1991,3,SS,삼성 라이온즈,126,70,55,1,272,4.23,560,3,30.49,0.6358709677419355,74.12903225806451,639.0,17.37,4.626,1.4573333333333334,549.0,575.3252682027959
1991,4,LT,롯데 자이언츠,126,61,62,3,260,4.03,496,4,22.830000000000002,0.5328387096774194,40.903225806451616,583.0,18.02,4.39875,1.603125,553.0,526.390046119817
1991,5,WO,태평양 돌핀스,126,55,69,2,238,4.02,444,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,6,LG,LG 트윈스,126,53,72,1,244,4.35,425,0,9.32,0.5609677419354839,45.74193548387097,472.0,8.41,5.251904761904762,1.6823809523809523,608.0,376.0397536992681
1991,7,SK,쌍방울 레이더스,126,52,71,3,253,4.69,425,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,8,OB,OB 베어스,126,51,73,2,250,4.21,413,0,14.540000000000001,0.6296923076923077,72.38846153846154,499.0,11.35,4.84,1.5578947368421054,593.0,414.5525680505876
1992,1,HH,빙그레 이글스,126,81,43,2,267,3.68,651,2,25.75,0.6355652173913043,61.29130434782609,657.0,23.89,4.874,1.6133333333333333,520.0,614.8416990828064
1992,2,HT,해태 타이거즈,126,71,54,1,272,4.21,567,3,30.03,0.6485454545454545,66.89545454545454,701.0,20.55,4.530769230769231,1.5130769230769232,571.0,601.1447907000116
1992,3,LT,롯데 자이언츠,126,71,55,0,288,4.28,563,1,30.34,0.621551724137931,62.61379310344827,663.0,22.76,5.519333333333334,1.7353333333333334,581.0,565.6312328689336
1992,4,SS,삼성 라이온즈,126,67,57,2,265,4.55,540,4,22.06,0.6162857142857143,56.74857142857143,632.0,13.69,4.6693750000000005,1.7068750000000001,563.0,557.5487197661653
1992,5,OB,OB 베어스,126,56,66,4,259,4.22,460,0,16.4,0.5966538461538462,48.223076923076924,547.0,14.959999999999999,5.114285714285715,1.572857142857143,582.0,469.02887920758286
1992,6,WO,태평양 돌핀스,126,56,67,3,256,4.48,456,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,7,LG,LG 트윈스,126,53,70,3,257,4.29,433,0,13.49,0.5718518518518518,47.170370370370364,545.0,11.86,5.066842105263158,1.6994736842105262,617.0,438.27484750139695
1992,8,SK,쌍방울 레이더스,126,41,84,1,249,4.85,329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,1,HT,해태 타이거즈,126,81,42,3,251,2.92,655,1,28.61,0.5510909090909091,60.60909090909092,513.0,22.520000000000003,3.974285714285714,1.5371428571428571,420.0,598.6978153586838
1993,2,SS,삼성 라이온즈,126,73,48,5,271,2.95,599,2,39.35,0.6078846153846154,75.12307692307692,615.0,23.790000000000003,3.9405882352941184,1.5294117647058822,433.0,668.5798831199713
1993,3,OB,OB 베어스,126,66,55,5,258,2.89,544,4,26.85,0.59,73.6962962962963,473.0,20.76,4.923529411764706,1.4905882352941175,405.0,576.986955645649
1993,4,LG,LG 트윈스,126,66,57,3,256,3.07,536,3,24.54,0.58124,75.43846153846154,476.0,14.74,4.138,1.4066666666666667,440.0,539.240699134317
1993,5,HH,빙그레 이글스,126,61,61,4,238,3.46,500,0,21.23,0.6366071428571428,88.33214285714287,455.0,11.870000000000001,3.531428571428571,1.3407142857142857,491.0,462.0000624841845
1993,6,LT,롯데 자이언츠,126,62,63,1,248,3.33,496,0,19.35,0.5563571428571429,62.028571428571425,452.0,17.919999999999998,5.506666666666666,2.032777777777778,462.0,489.0603904734695
1993,7,SK,쌍방울 레이더스,126,43,78,5,225,4.0,361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,8,WO,태평양 돌핀스,126,34,82,10,224,3.58,310,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,1,LG,LG 트윈스,126,81,45,0,282,3.14,643,1,38.58,0.5378333333333333,35.40416666666667,655.0,22.099999999999998,3.8305555555555557,1.2544444444444445,452.0,677.412529663607
1994,2,WO,태평양 돌핀스,126,68,55,3,244,3.5,552,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,3,HH,한화 이글스,126,65,59,2,247,3.52,524,3,16.53,0.5569000000000001,53.36666666666667,482.0,18.29,4.954375,1.6131250000000001,510.0,471.79666303739907
1994,4,HT,해태 타이거즈,126,65,59,2,271,3.6,524,4,26.080000000000002,0.5738888888888889,59.0074074074074,563.0,21.87,4.425714285714286,1.3628571428571428,495.0,564.0078007940227
1994,5,SS,삼성 라이온즈,126,60,64,2,260,3.47,484,0,27.43,0.5446896551724137,48.70344827586207,541.0,21.52,4.882631578947368,1.786842105263158,482.0,557.4823096912268
1994,6,LT,롯데 자이언츠,126,56,67,3,257,4.44,456,0,19.01,0.5587241379310345,58.717241379310344,489.0,11.71,4.476842105263158,2.288421052631579,604.0,395.93699342746686
1994,7,OB,OB 베어스,126,53,72,1,246,3.46,425,0,14.14,0.5711515151515151,58.381818181818176,477.0,14.3,3.8200000000000003,1.4220000000000002,507.0,469.5405074096027
1994,8,SK,쌍방울 레이더스,126,47,74,5,248,4.74,393,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,1,OB,OB 베어스,126,74,47,5,266,3.42,607,1,28.51,0.5691304347826087,54.85217391304347,629.0,19.44,3.974444444444445,1.5422222222222222,500.0,612.7879115474191
1995,2,LG,LG 트윈스,126,74,48,4,257,3.21,603,3,25.4,0.6595185185185185,94.45185185185184,527.0,20.49,3.278235294117647,1.4541176470588235,456.0,571.8530262617816
1995,3,LT,롯데 자이언츠,126,68,53,5,255,3.47,560,2,25.490000000000002,0.5432692307692307,66.28888888888889,590.0,22.44,4.676842105263158,1.571578947368421,493.0,588.8532332786001
1995,4,HT,해태 타이거즈,126,64,58,4,242,3.06,524,0,15.58,0.5261666666666667,41.95666666666667,431.0,27.71,3.451333333333333,7.831999999999999,434.0,496.5318336229133
1995,5,SS,삼성 라이온즈,126,60,60,6,250,3.9,500,0,23.24,0.5198064516129033,45.86774193548387,558.0,17.64,5.728235294117646,1.714705882352941,514.0,540.9757453600997
1995,6,HH,한화 이글스,126,55,71,0,249,4.04,437,0,22.81,0.6025555555555555,69.06296296296297,510.0,10.71,6.055294117647058,2.16,566.0,448.0959797117299
1995,7,WO,태평양 돌핀스,126,48,73,5,234,3.92,401,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
