Id,Name,Birthdate,Handedness,School,Draft,Year,Pos.,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
10567,김재우,1991년 10월 22일,,온양온천초-온양중-북일고,10 한화 2라운드 13순위,1시즌,RF,5,-0.05,0.01,5,5,5,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.200,0.200,0.200,0.400,0.600,-14.9,-0.04
10568,박상규,1989년 05월 02일,우투우타,대전신흥초-충남중-대전고,08 한화 1차,1시즌,LF,5,-0.03,-0.01,7,7,6,0,1,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0.167,0.286,0.167,0.453,0.000,30.4,-0.04
10569,서정,1984년 04월 16일,좌투좌타,송정동초-무등중-광주제일고-성균관대,07 한화 2차 5라운드 37순위,1시즌,CF,1,0.07,0.00,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.000,625.6,0.07
10570,양승학,1984년 01월 20일,우투우타,수유초-공주중-북일고,03 SK 2차 2라운드,3시즌,OF,47,0.27,-0.10,102,102,93,12,24,5,0,4,41,12,0,0,7,2,0,29,2,0,0,0.258,0.324,0.441,0.765,0.118,85.8,0.17
10571,연경흠,1983년 09월 14일,좌투좌타,석교초-청주중-청주기공고-인하대,02 한화 2차 12라운드 90순위,6시즌,LF,345,2.13,-0.89,875,866,774,102,180,40,3,26,304,88,2,1,76,13,2,183,19,7,5,0.233,0.310,0.393,0.703,0.118,82.6,1.24
10572,이상훈,1987년 05월 04일,우투우타,칠성초-경복중-경북고-성균관대,10 한화 4라운드 29순위,6시즌,RF,88,-1.00,0.13,167,161,142,16,24,1,0,2,31,4,6,1,12,7,0,28,3,6,0,0.169,0.267,0.218,0.485,0.099,13.6,-0.87
10573,이양기,1981년 01월 31일,우투우타,상인천초-동인천중-동산고-탐라대,99 한화 2차 12라 90순위,11시즌,LF,326,0.55,-1.29,777,768,689,61,180,32,1,6,232,75,7,0,53,23,0,126,32,9,3,0.261,0.333,0.337,0.670,0.079,73.7,-0.74
10574,이영우,1973년 11월 27일,좌투좌타,남정초-선린중-선린고-건국대,96 한화 2차 2라운드 12순위,13시즌,LF,1312,39.28,-6.54,5030,4946,4346,735,1275,272,33,135,2018,533,112,81,562,44,34,723,109,50,28,0.293,0.378,0.464,0.842,0.149,131.7,32.74
10575,전근표,1977년 03월 05일,좌투좌타,화곡초-신일중-신일고-한양대,96 현대 2차 5라운드 35순위,10시즌,RF,406,4.43,-1.28,889,879,759,99,187,33,1,29,309,89,1,4,116,6,4,210,13,6,2,0.246,0.350,0.407,0.757,0.113,105.6,3.15
10576,정현석,1984년 03월 01일,우투우타,유천초-한밭중-대전고-경희대,03 롯데 2차 4라운드 25순위,8시즌,RF,378,1.15,-0.30,969,953,858,110,225,36,1,12,299,71,8,10,78,17,2,152,29,15,1,0.262,0.335,0.348,0.683,0.115,78.8,0.85
10577,정희상,1982년 08월 13일,우투좌타,충암중-중앙고-단국대,05 한화 육성선수,3시즌,1B,74,-0.11,-0.25,148,146,132,15,27,5,1,2,40,9,4,0,12,2,0,41,4,2,0,0.205,0.281,0.303,0.584,0.103,53.4,-0.36
10578,최진행,1985년 08월 17일,우투우타,서울동원초-청량중-덕수정보고-우송대,04 한화 2차 2라운드 10순위,15시즌,DH,1104,18.35,-3.04,3872,3843,3356,428,886,169,1,152,1513,551,17,20,416,64,18,952,99,12,24,0.264,0.354,0.451,0.805,0.111,111.0,15.31
10579,추승우,1979년 09월 24일,우투좌타,공연초-하천-청주중-청주기공고-성균관대,98 LG 2차 12라운드 95순위,11시즌,LF,503,0.94,2.01,1327,1306,1151,160,278,37,8,5,346,91,60,17,114,36,4,252,11,17,9,0.242,0.327,0.301,0.628,0.123,67.4,2.96
10626,김다원,1985년 09월 17일,우투우타,광주학강초-광주동성중-광주동성고-성균관대,08 한화 육성선수,5시즌,RF,283,-0.57,-1.13,601,598,542,67,132,24,1,13,197,55,4,2,32,21,0,157,15,3,3,0.244,0.309,0.363,0.672,0.112,63.0,-1.70
10627,유한준,1981년 07월 01일,우투우타,신흥초-부천중-유신고-동국대,00 현대 2차 3라운드 20순위,15시즌,RF,1650,31.13,-4.00,6057,5988,5316,717,1606,284,6,151,2355,883,35,20,594,45,24,728,153,56,46,0.302,0.374,0.443,0.817,0.120,116.4,27.13
10636,김성현,1987년 03월 09일,우투우타,송정동초-충장중-광주제일고,06 SK 2차 3라운드 20순위,18시즌,SS,1622,11.77,0.38,4889,4768,4283,559,1149,185,11,46,1494,456,49,32,394,54,2,479,132,119,38,0.268,0.335,0.349,0.684,0.117,79.2,12.15
10638,가코,1981년 01월 02일,우투우타,-,11 삼성 자유선발,1시즌,DH,58,0.32,-1.25,220,220,189,21,46,8,0,1,57,28,0,1,22,5,0,34,12,0,4,0.243,0.332,0.302,0.634,0.096,74.3,-0.93
10640,김헌곤,1988년 11월 09일,우투우타,회원초-경복중-제주고-영남대,11 삼성 5라운드 36순위,13시즌,RF,977,2.36,-0.73,3025,2993,2689,349,724,103,11,47,990,313,66,34,231,48,2,366,78,31,26,0.269,0.335,0.368,0.703,0.117,81.6,1.63
10643,김재환,1988년 09월 22일,우투좌타,영랑초-상인천중-인천고,08 두산 2차 1라운드 4순위,15시즌,LF,1486,43.29,-3.87,5916,5884,5072,836,1425,269,17,276,2556,982,44,15,737,49,44,1335,89,1,57,0.281,0.374,0.504,0.878,0.142,138.6,39.42
10644,윤석민,1985년 09월 04일,우투우타,구리초-구리-구리인창중-구리인창고,04 두산 2차 3라운드 20순위,14시즌,1B,941,8.34,-3.14,3136,3116,2821,372,805,137,4,103,1259,466,13,10,226,36,6,462,115,17,36,0.285,0.342,0.446,0.788,0.119,100.1,5.19
10645,정진호,1988년 10월 02일,우투좌타,인헌초-선린중-유신고-중앙대,11 두산 5라운드 38순위,9시즌,CF,636,0.72,0.42,1451,1414,1278,215,334,54,8,14,446,134,45,20,121,10,3,216,24,34,8,0.261,0.328,0.349,0.677,0.152,80.1,1.13
10648,김문호,1987년 06월 22일,좌투좌타,고명초-덕수중-덕수정보고,06 롯데 2차 3라운드 17순위,13시즌,LF,703,3.37,-1.88,2227,2188,1946,251,548,98,8,20,722,208,46,34,205,37,8,387,39,33,6,0.282,0.360,0.371,0.731,0.115,86.8,1.50
10650,김주형,1985년 12월 15일,우투우타,광주학강초-광주동성중-광주동성고,04 KIA 1차,13시즌,1B,750,-1.10,-1.67,2011,1990,1809,175,405,77,1,61,667,222,4,8,135,31,2,389,45,19,17,0.224,0.287,0.369,0.656,0.088,63.0,-2.77
10651,윤정우,1988년 05월 12일,우투우타,광주학강초-광주동성중-광주제일고-원광대,11 KIA 3라운드 24순위,4시즌,CF,126,-0.20,-0.09,164,161,144,34,33,8,0,3,50,15,15,3,8,8,0,38,7,3,1,0.229,0.304,0.347,0.651,0.211,65.2,-0.29
10654,이시찬,1985년 02월 25일,우투우타,고명초-건대부중-휘문고-방송통신대,04 LG 2차 4라운드 31순위,9시즌,SS,313,-1.38,-0.93,500,486,448,72,99,12,1,1,116,37,43,10,31,3,1,85,14,13,5,0.221,0.273,0.259,0.532,0.148,35.3,-2.32
10655,정의윤,1986년 07월 25일,우투우타,신곡초-부산동래마린스-대천중-부산고,05 LG 2차 1라운드 3순위,15시즌,RF,1369,9.36,-4.48,4454,4422,4060,457,1127,185,13,119,1695,563,29,21,268,69,16,641,114,19,37,0.278,0.330,0.417,0.747,0.103,94.4,4.89
10656,양영동,1983년 07월 16일,좌투좌타,수유초-청원중-청원고-홍익대,06 삼성 신고선수,4시즌,LF,173,-0.31,0.22,210,204,180,44,34,5,1,0,41,8,20,5,22,2,0,47,2,6,0,0.189,0.284,0.228,0.512,0.216,39.1,-0.09
10658,알드리지,1979년 06월 13일,우투좌타,-,11 넥센 자유선발,1시즌,LF,117,2.56,0.05,480,478,414,55,98,20,1,20,180,73,6,2,59,2,2,139,5,0,5,0.237,0.331,0.435,0.766,0.115,105.7,2.62
10659,고종욱,1989년 01월 11일,우투좌타,역삼초-대치중-경기고-한양대,11 넥센 3라운드 19순위,13시즌,LF,1106,7.01,-0.62,3497,3482,3274,493,989,165,36,50,1376,413,130,61,175,17,7,678,56,8,23,0.302,0.338,0.420,0.758,0.142,94.1,6.39
10662,나성용,1988년 01월 05일,우투우타,대성초-진흥중-진흥고-연세대,07 LG 2차 6라운드 56순위 (지명거부후 대학진학),4시즌,DH,79,-0.29,0.01,145,145,134,12,33,5,0,5,53,17,0,1,9,2,0,56,4,0,0,0.246,0.303,0.396,0.699,0.083,69.9,-0.28
10663,한상훈,1980년 06월 03일,우투좌타,화곡초-신일중-신일고-경희대,99 한화 2차 6라운드 42순위,11시즌,2B,1043,4.06,5.04,2993,2870,2539,303,606,100,14,12,770,216,52,37,296,25,2,489,62,121,12,0.239,0.323,0.303,0.626,0.106,74.8,9.10
10664,백승룡,1982년 08월 16일,우투우타,사직초-사직중-부경고-경성대,01 한화 2차 5라운드 37순위,7시즌,SS,159,-0.78,0.44,257,247,207,28,34,7,0,0,41,9,6,3,28,11,0,64,3,10,1,0.164,0.296,0.198,0.494,0.113,35.4,-0.34
10665,오재필,1982년 07월 27일,우투우타,공주중동초-공주중-공주고-한양대,2차 12라운드 93순위,5시즌,LF,162,-0.40,0.17,264,256,233,32,49,6,1,3,66,21,15,5,17,6,0,95,1,8,0,0.210,0.281,0.283,0.564,0.125,49.6,-0.24
10666,고동진,1980년 04월 01일,좌투좌타,대전중리초-한밭중-대전고-성균관대,00 한화 2차 4라운드 32순위,10시즌,RF,820,4.39,-1.55,2652,2595,2296,311,572,97,7,21,746,201,62,34,214,73,4,428,52,53,16,0.249,0.331,0.325,0.656,0.120,77.8,2.84
10672,오준혁,1992년 03월 11일,우투좌타,순천북초-천안북중-북일고,11 한화 8라운드 64순위,10시즌,LF,280,-1.49,0.37,591,585,542,67,127,21,4,9,183,59,3,7,35,5,1,144,15,5,4,0.234,0.285,0.338,0.623,0.115,55.3,-1.12
10673,김용호,1986년 03월 29일,우투양타,춘천초-춘천중-춘천고-성균관대,11 한화 5라운드 33순위,1시즌,1B,2,-0.21,0.01,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.000,0.000,0.000,0.000,0.000,-165.9,-0.20
