Id,Name,Birthdate,Handedness,School,Draft,Year,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
10517,송현우,1981년 09월 16일,우투우타,서흥초-대헌중-인천고-건국대,00 LG 2차 5라운드,5시즌,P,70,0,70,26,0,0,1,1,0,3,86.0,53,58,58.00,405,96,,,7,54,9,1,46,,0,10,5.55,6.07,6.07,5.24,1.74,0.38
10518,심수창,1981년 02월 09일,우투우타,고명초-서울이수중-배명고-한양대,00 LG 2차 11라운드 83순위,15시즌,P,390,112,278,95,1,0,42,68,14,24,926.1,553,605,617.35,4245,1154,,,114,397,44,13,536,,2,60,5.37,5.88,5.99,5.11,1.67,2.36
10519,오상민,1974년 10월 20일,좌투좌타,군산초-군산중-군산상고-성균관대,97 쌍방울1차,15시즌,P,736,31,705,113,1,0,35,33,24,81,783.2,381,410,410.00,3385,802,,,117,257,43,25,563,,4,20,4.38,4.71,4.71,4.55,1.35,13.39
10520,오카모토,1974년 10월 21일,우투우타,-,10 LG 자유선발,1시즌,P,46,0,46,37,0,0,5,3,16,1,48.0,16,17,17.00,205,36,,,6,29,4,5,40,,0,5,3.00,3.19,3.19,4.95,1.35,1.75
10521,옥스프링,1977년 05월 13일,우투좌타,-,07 LG 자유선발,5시즌,P,136,133,3,7,6,1,49,40,0,0,807.1,350,396,384.20,3473,805,,,66,307,39,2,567,,1,16,3.90,4.41,4.28,4.39,1.38,19.17
10522,유경국,1991년 07월 12일,우투좌타,대성초-무등중-광주동성고,10 LG 3라운드 17순위,2시즌,P,3,2,1,1,0,0,0,0,0,0,6.1,6,6,5.65,32,10,,,1,5,0,0,1,,0,1,8.53,8.53,8.53,8.09,2.37,-0.02
10523,우규민,1985년 01월 21일,우언우타,성동초-휘문중-휘문고,03 LG 2차 3라운드 19순위,20시즌,P,857,130,727,253,3,2,87,89,91,119,1471.0,631,721,713.35,6288,1613,,,113,311,133,36,929,,2,15,3.86,4.41,4.36,4.09,1.31,29.88
10524,이동현,1983년 01월 12일,우투우타,영일초-영남중-경기고,01 LG 1차,15시즌,P,701,35,666,175,0,0,53,47,41,113,910.1,411,457,468.35,3955,927,,,84,364,41,30,687,,1,42,4.06,4.52,4.63,4.21,1.42,14.72
10525,이범준,1989년 07월 15일,우투우타,사당초-서울이수중-성남서고,08 LG 2차 2라운드 16순위,4시즌,P,76,17,59,21,0,0,6,7,0,0,179.0,114,125,125.00,844,192,,,18,118,16,0,99,,0,14,5.73,6.28,6.28,5.73,1.73,0.10
10527,이승현,1991년 11월 20일,우투우타,화순초-진흥중-화순고,10 LG 2라운드 16순위,11시즌,P,438,0,438,87,0,0,22,15,1,75,419.1,220,237,256.70,1866,449,79,9,63,177,16,5,340,14,1,14,4.72,5.09,5.52,5.18,1.49,4.09
